Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
Mingo County Office,1601 Armory Drive,,Williamson,WV,25661,681-533-0341,,,http://www.wvregion2.org/community-workforce-partners/youth-resources/
Cabell County Office,2699 Park Avenue,Suite 210,Huntington,WV,25704,304-508-2696,,,http://www.wvregion2.org/community-workforce-partners/youth-resources/
"Human Resource Development Foundation, Inc. - Buckhannon Office",1200 Harrison Avenue,Suite 103,Elkins,WV,26241,304-637-0718,,304-637-0718,http://www.hrdfwv.org/region-6-out-of-school.html
Randolph County Housing Authority,1404 North Randolph Avenue,,Elkins,WV,26241,304-637-9008,,,http://rchawv.org/youthbuild/youthbuild-3.html
"Human Resource Development Foundation, Inc. - Clarksburg Office",120 S Lainden Avenue,,Clarksburg,WV,26301,304-623-6367,,304-623-6036,http://www.hrdfwv.org/region-6-out-of-school.html
"Human Resource Development Foundation, Inc.- Weston Office",468 Maine Avenue,,Weston,WV,26452,304-216-9976,,304-269-4600,http://www.hrdfwv.org/region-6-out-of-school.html
"Human Resource Development Foundation, Inc.- Morgantown Office",1644 Mileground,,Morgantown,WV,26505,304-342-2078,,,http://www.hrdfwv.org/region-6-out-of-school.html
Mountaineer Challenge,PO Box 586,,Kingwood,WV,26537,304-329-2118,,,http://wvchallenge.org/
"Human Resource Development Foundation, Inc. - Fairmont Office",416 Adams Street,#220,Fairmont,WV,26554,304-363-0654,,304-363-2779,http://www.hrdfwv.org/region-6-out-of-school.html
Davidson County Community College,1205 Salisbury Road,,Mocksville,NC,27028,336-751-2885,,,https://www.davidsonccc.edu/
Mt. Airy City Schools,1011 North South Street,,Mount Airy,NC,27030,336-789-5147,,,https://www.mahsbears.org/
City of Winston-Salem,100 E. First Street,Suite 423,Winston-Salem,NC,27101,336-734-1289,,,http://www.cityofws.org/youthbuild
Goodwill Industries of North Carolina - Winston-Salem,2701 University Pkwy,,Winston-Salem,NC,27105,336-724-3621,,,https://www.goodwillnwnc.org/train/
RCSC,600 S Fayetteville Street,,Asheboro,NC,27203,336-625-5128,,,https://www.facebook.com/NCWorksCareerCenterRandolph/about/
Richmond Community Support Center (RCSC),412 Maple Ave,,Burlington,NC,27216,336-227-6050,info@rccsc393.org,,http://www.rccsc393.org/youth-program.html
Orange County Dept. of Social Services,113 Mayo Street,,Hillsborough,NC,27278,919-969-3032,sdcjoblink@orangecountync.gov,,http://www.co.orange.nc.us/1827/Workforce-Innovation-and-Opportunity-Act
Piedmont Triad Regional Council,1298 Carrollton Crossing Dr.,,Kernersville,NC,27284,336-904-0300,,,https://www.ptrc.org/
Johnston County Industries - Lee,811 Horner Blvd.,,Sanford,NC,27330,919-292-1701,,,http://www.jcindustries.com/
RCSC,201 Stanley Street,,Troy,NC,27371,910-572-3141,,,
Piedmont Community College,331 Piedmont Drive,,Yanceyville,NC,27379,336-694-5707,,,https://www.piedmontcc.edu/
Wayne Community College,3000 Wayne Memorial Drive,,Goldsboro,NC,27534,919-739-7005,,,https://www.waynecc.edu/
Vance-Granville Community College,200 Community College Rd,,Henderson,NC,27537,252-492-2061,,,https://www.vgcc.edu/
Harnett County JobLink Center,1137 E Cornelius Harnett Blvd,,Lillington,NC,27546,910-893-2191,,,http://www.harnett.org/joblink/default.asp
Granville County Public Schools,101 Delacroix Street,,Oxford,NC,27565,919-693-4613,,,https://www.gcs.k12.nc.us/
Piedmont Community College,PO Box 1197,1715 College Drive,Roxboro,NC,27573,336-599-1181,,,https://www.piedmontcc.edu/
JCI - NextGen,912 N Brightleaf Blvd.,,Smithfield,NC,27577,919-934-1029,,,http://www.jcindustries.com/program-services/youth
Warren County Schools,PO Box 110,109 Cousin Lucy's Lane,Warrenton,NC,27589,252-257-3184,,,https://www.warrenk12nc.org/
EDSI - Tomorrow's Leaders,1649 Old Louisburg Road,,Raleigh,NC,27604,919-803-2377,,,https://www.edsisolutions.com/locations/capital-area-youth-program
Community Partnership Inc.,400 W Main Street,Suite 604,Durham,NC,27701,919-402-9400,,,https://www.communitypartnerships.org/
Achievement Academy of Durham,2614 Crest Street,,Durham,NC,27705,919-956-8918,director@AchieveDurham.org,,http://achievedurham.org/
Rocky Mount Opportunities and Industrialization Center Inc.,402 E Virginia St,,Rocky Mount,NC,27801,252-977-3730,oicinfo@oicone.org,,https://www.oicone.org/
Cooperative Extension Service of Halifax County,359 Ferrell Ln,,Halifax,NC,27839,252-583-5161,,,https://halifax.ces.ncsu.edu/
Choanoke Area Development Association,PO Box 530,120 Sessoms Drive,Rich Square,NC,27869,252-539-4155,,,https://nc-cada.org/
Choanoke Area Development Association (CADA),PO Box 530,120 Sessoms Drive,Rich Square,NC,27869,252-539-4155,,,https://nc-cada.org/
Weldon City Schools,301 Mulberry Street,,Weldon,NC,27890,252-536-4821,,,http://weldon.schooldesk.net/
Opportunity & Industrialization Center of Wilson County,801 Reid Street East,,Wilson,NC,27893,252-291-0038,,,https://www.oicwilson.org/jobs/
River City Community Development Corporation,501 E. Main Street,,Elizabeth City,NC,27909,252-331-6312,,,https://www.rivercitycdc.org/youth-development
Northeastern Workforce Development Board,PO Box 646,,Hertford,NC,27944,252-426-5753,,,http://nwdbworks.org/
"Resource Development Center, Inc.",2215 US Hwy 52 N,,Albemarle,NC,28001,704-982-0120,,,
Gaston College,201 Hwy 321 South,,Dallas,NC,28034,704-922-6200,,,https://www.gaston.edu/
Union County Community Action,1401 W Roosevelt Blvd,,Monroe,NC,28110,704-283-7583,,,https://www.uccainc.org/
Isothermal Planning and Development Commission,PO Box 841 Rutherford,,Rutherfordton,NC,28139,828-287-2281,,,https://regionc.org/
MeckEd,129 W Trade St,# 1555,Charlotte,NC,28202,704-335-0100,info@mecked.org,,https://www.mecked.org/
Central Piedmont Community College,1412 E Fourth Street,"Education Center Building, Room 102",Charlotte,NC,28204,704-330-2722,,,https://www.cpcc.edu/
ResCare Workforce Services,5500 Executive Center Drive,Suite 235,Charlotte,NC,28212,704-563-3066,,,https://www.rescare.com/
Cumberland County Schools,2465 Gillespie Street,,Fayetteville,NC,28306,910-678-2300,,,http://ccs.k12.nc.us/?doing_wp_cron=1512141674.3243689537048339843750
Johnston County Industries - Sampson,308-B SE Boulevard,,Clinton,NC,28328,910-590-2970,,,http://www.jcindustries.com/
Bladen Community College,401 Mercer Mill Road,,Elizabethtown,NC,28337,910-879-5500,,,http://www.bladencc.edu/
Scotland County Schools,1000 W Church Street,,Laurinburg,NC,28352,910-276-1138,,,https://www.scotland.k12.nc.us/
Partners in Ministry,12 Third Street East,,Laurinburg,NC,28352,910-277-3355,,,http://pim-nc.org/
Robeson Community College,PO Box 1420,,Lumberton,NC,28359,910-272-3700,,,https://www.robeson.edu/
Lumber River Council of Governments,30 CJ Walker Road,,Pembroke,NC,28372,910-272-5066,,,https://www.lumberrivercog.org/services-for-youth
University of North Carolina at Pembroke,PO Box 1510,,Pembroke,NC,28372,910-521-6000,,,https://www.uncp.edu/
Hoke County Schools,505 S Bethel Road,,Raeford,NC,28376,910-875-4106,,,https://www.hcs.k12.nc.us
North Carolina Tarheel ChalleNGe Academy,600 North Main Street,,Salemburg,NC,28385,910-525-5520,ernest.king@ncdps.gov,,https://nc-tcachallenge.org/
"LINC, Inc.",222 Division Drive,PO Box 401,Wilmington,NC,28401,910-332-1132,info@lincnc.org,,https://lincnc.org/
Telamon Corporation,904 St. Walker Street,Ste. A,Burgaw,NC,28425,919-239-8158,,,https://www.telamon.org/where-we-work/north-carolina/
Southeastern Community College,4564 Chadbourn Hwy,PO Box 151,Whiteville,NC,28472,910-642-7141,,,http://sccnc.edu/continuing-education/
Telamon Corporation,913 Jefferson Street,,Whiteville,NC,28472,919-239-8151,,,https://www.telamon.org/where-we-work/north-carolina/
Lenoir Community College,231 Hwy 58 South,,Kinston,NC,28502,252-527-6223,llcox55@lenoircc.edu,,https://www.lenoircc.edu/
Onslow County Schools,200 Broadhurst Road,,Jacksonville,NC,28540,910-455-2211,contact@onslow.k12.nc.us,,https://www.onslow.k12.nc.us/Page/1354
Coastal Carolina Community College,444 Western Blvd.,,Jacksonville,NC,28546,910-455-1221,,,https://www.coastalcarolina.edu/
Jones County Schools,320 W Jones Street,,Trenton,NC,28555,252-448-2531,,,https://www.jonesnc.net/
Carteret Community College,3505 Arendell Street,,Moorehead City,NC,28557,252-222-6000,,,https://www.carteret.edu/
Craven County Schools,3600 Trent Road,,New Bern,NC,28562,252-514-6300,,,https://www.cravenk12.org/
Pitt Community College,PO Drawer 7007,1986 Pitt Tech Rd,Winterville,NC,28590,252-493-7200,,,https://pittcc.edu/
Clay Wilson and Associates (The Cognitive Connection),1109 2nd Ave SW,,Hickory,NC,28602,828-327-6026,info@thecogcon.com,,https://www.addicted.org/directory/item/clay-wilson-and-associates-dba-the-cognitive-connection.html
"I-Care, Inc.",1415 Shelton Avenue,,Statesville,NC,28677,704-872-8141,,,https://icare-inc.org/
Wilkes Community College,PO Box 120,,Wilkesboro,NC,28697,336-838-6100,,,https://www.wilkescc.edu/
Transylvania County Schools,225 Rosenwald Lane,,Brevard,NC,28712,828-884-6173,,,https://www.tcsnc.org/
Henderson County Public Schools,414 Fourth Avenue West,,Hendersonville,NC,28739,828-697-4733,,,http://www.hendersoncountypublicschoolsnc.org/
McDowell Technical Community College,54 College Drive,,Marion,NC,28752,828-652-6021,,,https://www.mcdowelltech.edu/
Madison County Public Schools,5738 US 25/70 Hwy.,,Marshall,NC,28753,828-649-9276,,,https://www.madisonk12.net/
Mayland Community College,PO Box 827,,Spruce Pine,NC,28777,828-765-7351,,,https://www.mayland.edu/
Haywood County Schools,1230 N Main Street,,Waynesville,NC,28786,828-456-2438,,,http://www.haywood.k12.nc.us/
Region A Training & Education Consortium,2251 Old Balsam Road,,Waynesville,NC,28786,828-452-1447,,,
Green Opportunities,133 Livingston Street,,Asheville,NC,28801,828-398-4158,info@greenopportunities.org,,https://www.greenopportunities.org/
Goodwill Industries of Northwest North Carolina - Asheville,1616 Patton Avenue,,Asheville,NC,28806,828-298-9023,info@goodwillnwnc.org,,https://www.goodwillnwnc.org/train/
Buncombe County Schools,175 Bingham Road,,Asheville,NC,28806,828-255-5921,,,https://buncombeschools.org/
Tri-County Community College,21 Campus Circle,,Murphy,NC,28906,828-837-6810,,,https://www.tricountycc.edu/
Lee County Adult Education,123 E College St,,Bishopville,SC,29010,803-484-4040,,,https://www.leeschooldistrictsc.org/apps/pages/index.jsp?uREC_ID=1054463&type=d&pREC_ID=1350946
Palmetto Youth Connections,123 E College Street,,Bishopville,SC,29010,803-840-9079,,,http://www.worklinkweb.com/youth/palmetto-youth-connections/
Eckerd Connects Workforce Development - Camden,874 Vocational Lane,,Camden,SC,29020,843-513-0454,,,https://eckerd.org/workforce-development/programs/
Kershaw County Adult Education,874 Vocational Ln,,Camden,SC,29020,803-425-8982,,,https://www.kcsdschools.net/
Eckerd Connects Workforce Development - Denmark,19 Maple Avenue,,Denmark,SC,29042,803-968-0038,,,https://eckerd.org/workforce-development/programs/
SC Youth ChalleNGe Academy,5471 Leesburg Road,Bldg 3892,Eastover,SC,29044,803-299-4872,,,https://scyouthchallenge.com/
F.E. Dubose Career Center,3351 US 521,,Manning,SC,29101,803-406-3286,,,https://www.cctech.edu/
Eckerd Connects Workforce Development - Manning,3351 Sumter Highway #521,,Manning,SC,29102,843-513-0455,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Paxen Workforce Development - Orangeburg,1804 Joe S. Jeffords Highway,,Orangeburg,SC,29115,803-968-0038,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Paxen Workforce Development - Saint Matthews,101 Courthouse Drive,,St. Matthews,SC,29135,803-968-0038,,,https://eckerd.org/workforce-development/programs/
Cleveland County Schools,400 W Marion Street,,Shelby,NC,29150,704-476-8030,,,https://sites.google.com/a/clevelandcountyschools.org/ccs/home
Eckerd Connects Workforce Development - Sumter 2,905 Main Street,,Sumter,SC,29150,843-574-1890,,,https://eckerd.org/workforce-development/programs/
Sumter County Adult Education,905 N. Main Street,,Sumter,SC,29150,803-840-1626,,,http://sumterschools.net/schools/adult-education/
Eckerd Connects Workforce Development - Sumter 1,2140 Peach Orchard Road,,Sumter,SC,29154,843-513-0455,,,https://eckerd.org/workforce-development/programs/
Telamon Corporation,2000 Park Street,Suite 103,Columbia,SC,29201,803-256-7411,,,https://www.telamon.org/where-we-work/south-carolina/workforce-career-services/
Benedict-Allen Community Development Corporation - YouthBuild,1600 Harden Street,,Columbia,SC,29204,803-705-4631,,,https://www.benedictallencdc.org/youthbuild
Spartanburg Housing Authority,201 Caulder Ave.,Suite A,Spartanburg,SC,29306,864-598-6000,,,https://www.shasc.org/
Eckerd Connects Workforce Development - North Charleston 3,1914 Reynolds Avenue,,North Charleston,SC,29405,843-202-0909,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - North Charleston 2,1370 Remont Road,Suite C,North Chaleston,SC,29406,843-203-2894,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - North Charleston 1,1930 Hanahan Road,Suite 200,North Charleston,SC,29406,843-412-5914,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Moncks Corner,100 S Highway 52,,Moncks Corner,SC,29461,843-412-5914,,,https://eckerd.org/region/sc/
Eckerd Connects Workforce Development - Summerville,1325 Boone Hill Road,Suite A,Summerville,SC,29483,843-513-0455,,,https://eckerd.org/workforce-development/programs/
Walterboro Career Center,1085 Thunderbolt Drive,,Walterboro,SC,29488,843-538-8980,,,https://unemploymentoffice.us/south-carolina-unemployment-offices/walterboro-sc-unemployment-career-center-office/
Eckerd Connects Paxen Workforce Development - Florence,301 Dargen Street,,Florence,SC,29506,843-799-6104,,,https://eckerd.org/workforce-development/programs/
HiCor Learning Systems,460 Hwy 9 West,,Bennettsville,SC,29512,803-840-7787,,,https://www.hicorlearning.com/
HiCor Learning Systems,322 Front St,,Cheraw,SC,29530,843-320-9760,,,
Darlington County Schools,501 Spring Street,,Darlington,SC,29532,843-395-1540,,,http://www.dcsdschools.org/
Eckerd Connects Paxen Workforce Development - Marion,410 E Liberty Street,,Marion,SC,29571,843-206-2918,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Mullins,2699 E. Highway 76,,Mullins,SC,29574,843-230-3400,,,https://eckerd.org/workforce-development/programs/
Goodwill Industries of Upstate/Midlands South Carolina,115 Haywood Road,,Greenville,SC,29607,864-303-3769,,,https://www.goodwillsc.org/job-training/programs
Eckerd Connects Workforce Development - Anderson 1,2005 N Main Street,,Anderson,SC,29621,888-696-8404,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Anderson 2,512 Michelin Boulevard,,Anderson,SC,29625,864-260-6780,,864-260-6789,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Clemson,1376 Tiger Blvd,Suite 102,Clemson,SC,29631,864-506-1775,,864-722-9250,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Easley,1774 Powdersville Road,,Easley,SC,29642,864-220-8990,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Pelzer,214 Lebby Street,,Pelzer,SC,29669,864-633-6356,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Seneca 2,104 Vocational Drive,,Seneca,SC,29672,864-646-1741,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Seneca 1,315A Holland Avenue,,Seneca,SC,29678,864-633-6355,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Workforce Development - Allendale,398 Barnwell Highway,,Allendale,SC,29810,803-968-0038,,,https://eckerd.org/workforce-development/programs/
Eckerd Connects Paxen Workforce Development - Barnwell,10117 Ellenton Street,,Barnwell,SC,29812,803-968-0038,,,https://eckerd.org/workforce-development/programs/
Barnwell Center,248 Wall Street,,Barnwell,SC,29812,803-450-1000,,,
Eckerd Connects Workforce Development - Yemassee,634 Campground Road,,Yemassee,SC,29945,843-609-6990,,,https://eckerd.org/workforce-development/programs/
Atlanta Growing Leadership of Women (GLOW),PO Box 670653,,Marietta,GA,30066,,,,https://www.atlantaglow.org/mentoring
Eckerd Connects Paxen Workforce Development,121 E Felton Road,,Cartersville,GA,30120,470-274-5231,,,https://eckerd.org/workforce-development/paxen/
Northwest Georgia Workforce Development Board - Career Depot,1 Jackson Hill Drive,,Rome,GA,30162-1798,706-295-6485,,706-295-6665,http://www.careerdepot.org/youth-services/
AVPride,101 Devant Street,Suite 502,Fayetteville,GA,30214,678-521-7875,,,https://www.fayettechamber.org/list/member/avpride-inc-2179
Eckerd Connects Paxen Workforce Development,1250 Terrell Street,,Greenville,GA,30222,770-672-8000,,706-672-8088,https://eckerd.org/workforce-development/paxen/
Juma,137 Peachtree Street SW,,Atlanta,GA,30303,,robertl@juma.org,,http://www.juma.org/atlanta/
Urban League of Greater Atlanta Inc.,229 Peachtree St. NE,Suite 300,Atlanta,GA,30303,404-659-1150,info@ulga-yp.org,,https://www.ulga-yp.org/signature-programs/
Bridges From School to Work,229 Peachtree Street NE,Suite 660,Atlanta,GA,30303,404-523-6335,,,http://www.bridgestowork.org/locations/atlanta/
Per Scholas Atlanta,231 Peachtree Street NE,Suite M-100,Atlanta,GA,30303,404-793-2309,atlanta@perscholas.org,,https://perscholas.org/about?city=atlanta#supporters
City of Atlanta-Atlanta Workforce Development Agency,818 Pollard Blvd. SW,,Atlanta,GA,30303,404-546-3051,,,http://www.worksourceatlanta.org/
CHRIS Kids (CHRIS 180),1017 Fayetteville Rd.,Suite B,Atlanta,GA,30316,404-486-9034,,,https://chris180.org/community-support/the-spot/
Eckerd Connects Paxen Workforce Development,240 Candler Road SE,Room 225,Atlanta,GA,30317,470-553-0267,,,https://eckerd.org/workforce-development/paxen/
Future Seekers Incorporated,3475 N. Desert Drive,"Building 1, Suite 2100",East Point,GA,30344,404-699-6998,info@futureseekers.org,,http://www.futureseekers.org/
Eckerd Connects Paxen Workforce Development,840-B Hawthorne Avenue,,Athens,GA,30606,706-372-9611,,,https://eckerd.org/workforce-development/paxen/
Thomson Housing Authority,149 Main Street,,Thomson,GA,30824,706-690-1149,brandon.clark@egahousing.org,,https://www.egahousing.org/Programs/YouthBuild.aspx
Fort Gordon Youth Challenge,574 40th Street,,Fort Gordon,GA,30906,912-876-1722,admission@fsyca.org,,http://www.georgiayouthchallenge.org/FortGordonWhoWeAre
Eckerd Connects Paxen Workforce Development,606 15th Avenue,,Cordele,GA,31015,229-931-8990,,,https://eckerd.org/workforce-development/paxen/
Middle Georgia Consortium,124 Osigian Boulevard,Suite A,Warner Robins,GA,31088,478-953-4771,,,http://www.mgwib.com/youth.php
Southwest Georgia United Empowerment Zone -YouthBuild,1150 Industrial Drive,Suite 144,Vadalia,GA,31092,229-268-7592,,,
Fort Stewart Youth Challenge,,,Fort Stewart,GA,31313,912-767-2664,admission@fsya.org,,http://www.georgiayouthchallenge.org/FortStewartWhoWeAre
YouthBuild Savannah,2203 Abercorn Street,,Savannah,GA,31401,912-651-2166,ksimmons@savannahga.gov,,http://worksourcecoastal.org/young-adult-services/youthbuild/
"City of Savannah, Georgia",601 East 66th Street,Suite #201 P.O. Box 1027,Savannah,GA,31405,912-351-6382,,,http://www.savannahga.gov/2288/Youth-Net
Eckerd Connects Paxen Workforce Development,1304 Gloucester Street,,Brunswick,GA,31520,912-571-9505,,,https://eckerd.org/workforce-development/paxen/
Eckerd Connects Paxen Workforce Development,301 Tripp Street,,Americus,GA,31709,229-931-8990,,,https://eckerd.org/workforce-development/paxen/
Florida Youth ChalleNGe Academy,5629 State Road 16 W,Building 3800,Starke,FL,32091,866-276-9304,admissions@flyca.info,,https://www.floridayouthchallengeacademy.org/
Florida Youth Connections,201 N Myrtle Avenue,,New Smyrna Beach,FL,32168,386-337-0763,,,
Eckerd Workforce Development,201 North Myrtle Ave,,New Smyrna Beach,FL,32168,386-337-0763,,,https://eckerd.org/workforce-development/
"Florida Institute for Workforce Innovation, Inc.",408 W. University Avenue,Suite 111,Gainesville,FL,32601,352-215-8157,,,http://projectyouthbuild.org/project-youthbuild-info/
Eckerd Connects Workforce Development,109 NW Third Avenue,,Chiefland,FL,32626,352-291-9550,,,https://eckerd.org/workforce-development/
Florida Youth Connections,520 S. Clara Avenue,,DeLand,FL,32720,386-490-5204,,,
Eckerd Connects Workforce Development,520 South Clara Avenue,,Deland,FL,32720,386-490-5204,,,https://eckerd.org/workforce-development/
Eckerd Connects Workforce Development,610 Deltona Blvd.,Suite A,Deltona,FL,32725,386-490-6773,,,
Florida Youth Connections,610 Deltona Blvd.,Suite A,Deltona,FL,32725,386-490-6773,,,
Eastern Florida State University,1519 Clearlake Road,Building 20-233b,Cocoa,FL,32922,321-433-7477,,,http://www.easternflorida.edu/news-events/news-releases/2015/05-01-youth-build-info-sessions.cfm
Eckerd Connects Project Bridge,1380 Sarno Road,,Melbourne,FL,32935,321-253-0032,,,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
Eckerd Workforce Development,1880 82nd Avenue,Suite 103,Vero Beach,FL,32966,866-482-4473,,,https://eckerd.org/workforce-development/
"Youth Co-Op, Inc. - Homestead",28951 S Dixie Hwy,,Homestead,FL,33030,,youth@ycoopmail.org,,https://www.ycoop.org/en/
"Youth Co-Op, Inc. - Key Largo",103400 Overseas Highway,#239,Key Largo,FL,33037,305-643-6730,youth@ycoopmail.org,,https://www.ycoop.org/en/
"Youth Co-Op, Inc. – Key West",1111 12th Street,S-307 & S-308,Key West,FL,33040,305-643-6731,youth@ycoopmail.org,,https://www.ycoop.org/en/
"Youth Co-Op, Inc. - Little Havana",5040 NW 7 Street,Suite 300,Miami,FL,33125,305-442-6900,youth@ycoopmail.org,305-460-5643,https://www.ycoop.org/en/
Greater Miami Service Corps,810 NW 28 Street,,Miami,FL,33127,305-638-4672,info@gmscmiami.com,,http://www.gmscmiami.org/
"Cuban American National Council, Inc.",1223 Southwest 4th St.,Suite B,Miami,FL,33135,305-642-3484,csantana@cnc.org,,http://cnc.org/
"Youth Co-Op, Inc. - Miami-Dade",701 SW 27 Avenue,11th Floor,Miami,FL,33135,305-643-6732,youth@ycoopmail.org,,https://www.ycoop.org/en/
"Adults Mankind Organization, Inc. - North Miami Beach",801 NE 167 Street,,North Miami Beach,FL,33162,305-654-7175,dnoble@adultmankind.com,,https://www.amoservices.org/
Eckerd Connects Project Bridge,18441 NW 2nd Avenue,Suite 100,Miami,FL,33169,305-705-4911,,,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
"Adults Mankind Organization, Inc.",11025 SW 84 Street,Cottage 11,Miami,FL,33173,305-271-5121,dnoble@adultmankind.com,,https://www.amoservices.org/
"Community Coalition, Inc.",2100 Coral Way,Suite 402,Miami,FL,33182,305-887-4140,info@communitycoalitioninc.org,,https://www.communitycoalition.info/
OIC of South Florida,3407 Powerline Road,Suite 100,Oakland Park,FL,33309,954-563-3535 ext.208,,,https://oicsfl.org/
Eckerd Connects Project Bridge,2909 NW 21st Avenue,,Oakland Park,FL,33311,954-626-0664,,,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
Eckerd Connects Project Bridge,400 N Congress Avenue,Suite 150,West Palm Beach,FL,33401,561-469-7693,,,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
"Tampa Bay Academy of Hope, Inc.",5118 North 56th Street,#230,Tampa Bay,FL,33610,813-620-4029,info@tampahope.org,,http://www.tampahope.org/youth-build-tbah.html
Eckerd Connects Project Bridge,10549 N Florida Avenue,Suite H,Tampa,FL,33612,813-284-6943,,,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
Eckerd Connects Paxen,3810 5th Avenue North,,St. Petersburg,FL,33713,727-202-8917,,,https://eckerd.org/workforce-development/paxen/
"Boley Centers, Inc - St. Petersburg",445 31st Street N.,Paula J. Hays Building,St. Petersburg,FL,33713,727-821-4819 ext. 5106,,,http://boleycenters.org/
CareerSource Pinellas,13805 58th Street N.,Suite 2-140,Clearwater,FL,33760,727-608-2463,,,https://careersourcepinellas.com/
"Boley Centers, Inc - High Point",High Point Branch YMCA,5345 Laurel Place,Clearwater,FL,33760,727-401-3122,,,http://boleycenters.org/
"Boley Centers, Inc - Clearwater",1932 Drew Street,Unit 10,Clearwater,FL,33765,727-401-3249,,,http://boleycenters.org/
"Boley Centers, Inc - Ridgecrest",14300 Adams Circle,Unit A,Largo,FL,33774,727-968-3975,,,http://boleycenters.org/
Housing Authority of Lakeland,430 Hartsell Avenue,,Lakeland,FL,33815,863-687-2911,info@lakelandhousing.org,,https://lakelandhousing.org/Other-Programs/youthbuild.aspx
Eckerd Connects Project Bridge,6213 Presidential Court,Suite 130,Ft. Myers,FL,33919,239-208-8983,,239-208-8993,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
Eckerd Workforce Development,683 South Adolph Point,,Lecanto,FL,34460,352-291-9550 ext.1852,,,https://eckerd.org/workforce-development/
Citrus Marion Regional Workforce Development Board Inc,3003 SW College Rd.,Suite 205,Ocala,FL,34474,352-861-1657,,,https://www.guidestar.org/profile/59-3409057
Eckerd Connects Paxen,306 NW 7th Avenue,,Ocala,FL,34475,941-276-3724,,,https://eckerd.org/workforce-development/paxen/
Eckerd Workforce Development,7361 Forest Oaks Boulevard,,Spring Hill,FL,34606,352-200-3043,,,https://eckerd.org/workforce-development/
Eckerd Workforce Development,4440 Grand Boulevard,,New Port Richey,FL,34652,727-484-3422,,,https://eckerd.org/workforce-development/
"Boley Centers, Inc - Tarpon Springs",Tarpon Springs Shepherd Center,304 S Pinellas Ave,Tarpon Springs,FL,34689,727-491-5897,,,http://boleycenters.org/
Valencia College-Osceola Campus,1800 Denn John Lane,,Kissimmee,FL,34744,407-299-5000,,,https://valenciacollege.edu/students/bridges-to-success/
Eckerd Workforce Development,2102 Avenue Q,,Ft. Pierce,FL,34950,772-460-3653,,,https://eckerd.org/workforce-development/
Eckerd Connects Project Bridge,415 Avenue A,,Ft. Pierce,FL,34950,,,,https://eckerd.org/juvenile-justice-services/community-based-services/project-bridge/
Eckerd Connects Paxen,616 E Orange Avenue,,Ft. Pierce,FL,34950,866-482-4473,,,https://eckerd.org/workforce-development/paxen/
Indian River State College,3209 Virginia Avenue,,Fort Pierce,FL,34981,772-462-7546,swood@irsc.edu,,https://www.irsc.edu/
Eckerd Workforce Development,584 NW University Boulevard,Suite 400,Port St. Lucie,FL,34986,772-408-1260,,,https://eckerd.org/workforce-development/
Eckerd Connects Paxen and Workforce Development,710 SE Central Parkway,,Stuart,FL,34994,727-214-3174,,,https://eckerd.org/workforce-development/paxen/
The Dannon Project,2324 5th Avenue,,North Birmingham,AL,35203,205-202-4072,,,https://dannonproject.org/youth-development-program/
Easter Seals of West Alabama,1110 Dr. Edward Hilliard Drive,,Tuscaloosa,AL,35401,205-759-1211,eswa@eswaweb.org,,http://www.eswaweb.org/
Community Service Programs of West Alabama,601 Black Bears Way,,Tuscaloosa,AL,35401,205-752-5429,,,https://www.cspwal.com/
Pickens County Community Action Committee and Development,P.O. Box 348,,Carrollton,AL,35447,205-367-8166,,,http://www.caapickens.org/services/youth-projects
West-Mid Alabama Community Development Corporation,105 E Main Street,,Livingston,AL,35470,205-799-1485,,,
Bevill State Community College,1411 Indiana Avenue,,Jasper,AL,35501,205-387-0511,,,https://www.bscc.edu/
Northwest-Shoals Community College - Youth Success Program,800 George Wallace Blvd,PO Box 2545,Muscle Shoals,AL,35662,256-331-5200,nwscc@nwscc.edu,,https://www.nwscc.edu/
Attalla City Schools,100 Case Avenue,,Attalla,AL,35954,256-538-8051,,,https://www.attalla.k12.al.us/
Housing Authority of the City of Eufaula,737 South Orange Avenue,,Eufaula,AL,36027,334-687-2451,,,http://www.eufaulahousing.com/page10/page10.html
